date,wheat,rice,electricity_price,CG_T_mean,CG_relative_humidity_mean,CG_pressure mean,CG_Rainfall,CG_Wind Speed,CG_wind_gust,SG_T_mean,SG_relative_humidity_mean,SG_pressure_mean,SG_rainfall,SG_wind speed,SG_wind_gust,oil,cpi,imports,exports,fkt,hkks
2004-10-01,120.25,195.4,,,,,,,,,,,,,,37.75074518649802,82.7954,14791527.0,297242.0,93.68,130.24
2004-11-01,120.54,199.55,,,,,,,,,,,,,,36.74301851270788,82.87689,9684774.0,840323.0,94.39,87.58
2004-12-01,114.77,207.55,,,,,,,,,,,,,,30.983902512411614,83.19360999999998,12320125.0,698989.0,60.51,124.71
2005-01-01,117.08,218.78,,,,,,,,,,,,,,,83.40212,8507906.0,3581706.0,150.47,108.66
2005-02-01,116.17,222.86,,,,,,,,,,,,,,34.63575650571889,82.39728000000001,9882488.0,974988.0,62.0,89.08
2005-03-01,114.4,221.8,,,,,,,,,,,,,,38.18855932203389,84.26921999999999,6519910.0,5096709.0,101.65,83.08
2005-04-01,108.89,229.76,,,,,,,,,,,,,,41.77791496257427,84.9129,8692629.0,4338636.0,110.05,105.67
2005-05-01,112.93,231.49,,,,,,,,,,,,,,,85.16113,6760286.0,1435028.0,62.49,87.98
2005-06-01,116.68,234.29,,,,,,,,,,,,,,41.265947006869474,84.98013,8853141.0,490341.0,72.66,89.32
2005-07-01,119.53,229.93,,,,,,,,,,,,,,46.66997600728054,83.93741,11616022.0,16438.0,59.53,76.46
2005-08-01,121.51,230.07,,,,,,,,,,,,,,49.562157296014405,83.56197,33512065.0,5974330.0,102.67,79.63
2005-09-01,130.33,232.78,,,,,,,,,,,,,,53.915079108814986,85.40156999999998,7666914.0,1528873.0,138.42,79.74
2005-10-01,139.69,238.39,,,,,,,,,,,,,,,85.97086,5726233.0,4477716.0,84.54,87.64
2005-11-01,136.72,235.69,,,,,,,,,,,,,,47.210193204530306,85.79525,8513792.0,5290444.0,114.31,79.73
2005-12-01,138.7,236.6,,,,,,,,,,,,,,45.679012345679006,86.20647,10168391.0,5744693.0,76.93,75.23
2006-01-01,138.12,240.66,,,,,,,,,,,,,,,86.10821999999999,4567206.0,3788449.0,80.65,70.49
2006-02-01,150.65,252.56,,,,,,,,,,,,,,54.28382401587827,85.0622,10576860.0,5403468.0,47.25,61.79
2006-03-01,145.13,252.51,,,,,,,,,,,,,,51.12932909486364,87.05247,10595324.0,9747806.0,38.67,73.39
2006-04-01,146.99,246.34,,,,,,,,,,,,,,,87.69266999999998,12522345.0,2845573.0,102.38,72.56
2006-05-01,151.28,241.21,,,,,,,,,,,,,,57.549653027039966,87.8282,16463470.0,8314241.0,68.54,90.41
2006-06-01,154.29,247.06,,,,,,,,,,,,,,53.99654522613064,87.72896999999999,8193750.0,3745414.0,63.84,83.88
2006-07-01,159.61,248.68,,,,,,,,,,,,,,,87.16526,8743980.0,2821268.0,81.38,99.29
2006-08-01,148.24,244.06,,,,,,,,,,,,,,59.87146328082138,86.51666999999999,20889156.0,9341436.0,56.66,69.41
2006-09-01,153.99,242.94,,,,,,,,,,,,,,54.99726925177498,87.90386,27463885.0,9312707.0,49.24,61.33
2006-10-01,168.18,238.69,,,,,,,,,,,,,,,88.38887,12249169.0,4618291.0,48.57,66.62
2006-11-01,162.8,230.01,,,,,,,,,,,,,,44.187504899270984,88.30551,17937835.0,4885653.0,42.34,49.7
2006-12-01,154.63,230.84,,,,,,,,,,,,,,48.882512836001204,88.7141,19050727.0,2589487.0,42.49,55.45
2007-01-01,150.85,240.81,,,,,,,,,,,,,,44.768413059984816,88.45924000000002,18744425.0,3658710.0,67.05,47.18
2007-02-01,152.96,240.94,,,,,,,,,,,,,,43.57910906298003,87.33533,9709204.0,2933207.0,46.75,67.28
2007-03-01,150.36,240.66,,,,,,,,,,,,,,46.26086956521739,89.34396,14944607.0,1026943.0,44.09,65.01
2007-04-01,146.73,234.18,,,,,,,,,,,,,,,89.90961,10700142.0,4275240.0,48.99,62.1
2007-05-01,144.86,235.07,,,,,,,,,,,,,,49.41565600882029,90.1312,12975472.0,2922493.0,38.59,65.94
2007-06-01,166.22,240.9,,,,,,,,,,,,,,51.094075617743385,90.04034,20024591.0,849612.0,65.47,73.27
2007-07-01,173.83,239.74,,,,,,,,,,,,,,,89.36381999999999,26341722.0,1696161.0,28.63,72.05
2007-08-01,190.68,240.43,,,,,,,,,,,,,,56.437092878577175,88.70371,28099242.0,832504.0,58.18,85.67
2007-09-01,235.03,233.92,,,,,,,,,,,,,,,90.4703,29702589.0,7923837.0,67.27,89.89
2007-10-01,235.58,231.4,,,,,,,,,,,,,,55.03794266441821,91.12526,31106183.0,14872044.0,72.99,82.39
2007-11-01,219.18,232.93,,,,,,,,,,,,,,62.64993413298205,91.77847,41486941.0,11840756.0,80.62,88.77
2007-12-01,253.02,247.56,,,,,,,,,,,,,,,92.15891,20807709.0,2384454.0,123.43,103.08
2008-01-01,251.86,255.21,,,,,,,,,,,,,,63.63698118334353,91.90598000000001,29225819.0,4662886.0,107.02,94.81
2008-02-01,288.21,315.17,,,,,,,,,,,,,,61.394317952851104,91.20977,18137859.0,12924312.0,68.43,95.02
2008-03-01,283.26,382.64,,,,,,,,,,,,,,,93.30563,9643900.0,4561240.0,105.29,104.95
2008-04-01,230.0,575.89,,,,,,,,,,,,,,63.02043422733078,93.89681,21169814.0,7897481.0,75.77,82.05
2008-05-01,211.34,579.71,,,,,,,,,,,,,,71.5057915057915,94.55634,15557717.0,3723956.0,79.39,73.77
2008-06-01,224.12,486.76,,,,,,,,,,,,,,,94.46169,11352649.0,2365361.0,32.79,86.73
2008-07-01,208.12,464.04,,,,,,,,,,,,,,89.17274167987323,93.72826,10165651.0,6352554.0,64.03,105.69
