Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1961","1961","toneladas","877000","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1961","1961","toneladas","849600","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1961","1961","toneladas","1549200","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1962","1962","toneladas","1030961","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1962","1962","toneladas","913332","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1962","1962","toneladas","1611131","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1963","1963","toneladas","1035513","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1963","1963","toneladas","998079","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1963","1963","toneladas","1669877","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1964","1964","toneladas","1123006","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1964","1964","toneladas","1102209","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1964","1964","toneladas","1726820","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1965","1965","toneladas","1287623","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1965","1965","toneladas","1132324","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1965","1965","toneladas","1775855","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1966","1966","toneladas","1321319","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1966","1966","toneladas","1114104","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1966","1966","toneladas","1671770","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1967","1967","toneladas","1344010","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1967","1967","toneladas","1132251","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1967","1967","toneladas","1735168","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1968","1968","toneladas","1443368","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1968","1968","toneladas","1179485","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1968","1968","toneladas","1642087","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1969","1969","toneladas","1571976","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1969","1969","toneladas","1245803","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","79","Alemania","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1969","1969","toneladas","1743664","A","Cifra oficial","Official data from questionnaire"
