Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2000","2000","","1.41","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2002","2002","","1.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2003","2003","","0.58","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2004","2004","","0.64","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2005","2005","","0.89","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2006","2006","","1.03","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2007","2007","","1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2008","2008","","0.94","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2009","2009","","0.86","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2010","2010","","0.8","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2011","2011","","0.84","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2012","2012","","0.78","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2013","2013","","0.93","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2014","2014","","0.93","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2015","2015","","0.69","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2016","2016","","0.67","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2017","2017","","0.57","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2018","2018","","0.58","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2019","2019","","0.55","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2020","2020","","0.65","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2021","2021","","0.73","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2022","2022","","0.63","X","Cifra de fuente externa",""
