Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","1990","1990","1000 No.","21268.451","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","1990","1990","1000 No.","57849.875","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","1991","1991","1000 No.","58295.868","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","1991","1991","1000 No.","21268.586","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","1992","1992","1000 No.","21324.431","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","1992","1992","1000 No.","58721.726","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","1993","1993","1000 No.","59179.67","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","1993","1993","1000 No.","21340.418","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","1994","1994","1000 No.","21276.902","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","1994","1994","1000 No.","59654.139","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","1995","1995","1000 No.","60054.511","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","1995","1995","1000 No.","21186.093","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","1996","1996","1000 No.","21062.608","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","1996","1996","1000 No.","60363.729","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","1997","1997","1000 No.","60588.935","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","1997","1997","1000 No.","20910.931","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","1998","1998","1000 No.","20740.748","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","1998","1998","1000 No.","60758.484","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","1999","1999","1000 No.","60914.42","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","1999","1999","1000 No.","20567.192","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2000","2000","1000 No.","20400.344","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2000","2000","1000 No.","61087.413","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2001","2001","1000 No.","61290.583","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2001","2001","1000 No.","20245.265","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2002","2002","1000 No.","20097.558","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2002","2002","1000 No.","61514.31","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2003","2003","1000 No.","61736.369","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2003","2003","1000 No.","19950.126","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2004","2004","1000 No.","19792.081","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2004","2004","1000 No.","61923.578","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2005","2005","1000 No.","62053.609","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2005","2005","1000 No.","19617.625","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2006","2006","1000 No.","19423.458","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2006","2006","1000 No.","62116.895","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2007","2007","1000 No.","62129.072","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2007","2007","1000 No.","19215.385","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2008","2008","1000 No.","19004.672","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2008","2008","1000 No.","62126.272","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2009","2009","1000 No.","62158.252","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2009","2009","1000 No.","18807.36","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2010","2010","1000 No.","18633.173","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2010","2010","1000 No.","62261.612","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","561","Población urbana","3010","Población-Estimaciones","2011","2011","1000 No.","62448.659","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2011","2011","1000 No.","18485.321","X","Cifra de fuente externa",""
"OA","Series temporales anuales","79","Alemania","551","Población rural","3010","Población-Estimaciones","2012","2012","1000 No.","18507.405","X","Cifra de fuente externa",""
