Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2000","2000","%","9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2001","2001","%","8.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2002","2002","%","8.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2003","2003","%","8.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2004","2004","%","8.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2005","2005","%","8.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2006","2006","%","8.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2007","2007","%","8.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2008","2008","%","8.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2009","2009","%","8.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2010","2010","%","8.8","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2011","2011","%","8.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2012","2012","%","9.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2013","2013","%","9.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2014","2014","%","9.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2015","2015","%","9.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2016","2016","%","10.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2017","2017","%","10.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2018","2018","%","11","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2019","2019","%","11.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2020","2020","%","12","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2021","2021","%","12.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2022","2022","%","13.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2023","2023","%","14","X","Cifra de fuente externa",""
