Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20142016","2014-2016","%","4.1","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20142016","2014-2016","%","4.7","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20142016","2014-2016","%","3.4","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20152017","2015-2017","%","3.8","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20152017","2015-2017","%","3.7","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20152017","2015-2017","%","3.8","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20162018","2016-2018","%","3.6","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20162018","2016-2018","%","3.1","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20162018","2016-2018","%","4.1","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20172019","2017-2019","%","3.5","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20172019","2017-2019","%","3","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20172019","2017-2019","%","4.1","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20182020","2018-2020","%","3.4","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20182020","2018-2020","%","3.1","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20182020","2018-2020","%","3.7","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20192021","2019-2021","%","3.5","E","Valor estimado","FAO data"
