Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2000","2000","%","17.8","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2001","2001","%","18.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2002","2002","%","18.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2003","2003","%","19","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2004","2004","%","19.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2005","2005","%","19.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2006","2006","%","19.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2007","2007","%","20.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2008","2008","%","20.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2009","2009","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2010","2010","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2011","2011","%","20.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2012","2012","%","20.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2013","2013","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2014","2014","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2015","2015","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2016","2016","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2017","2017","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2018","2018","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2019","2019","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2020","2020","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2021","2021","%","20.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2022","2022","%","20.4","X","Cifra de fuente externa",""
