Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1961","1961","ha","7138919","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1961","1961","kg/ha","2417.4","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1961","1961","toneladas","17257340","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1962","1962","ha","7145685","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1962","1962","kg/ha","2962.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1962","1962","toneladas","21166661","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1963","1963","ha","7168885","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1963","1963","kg/ha","2925.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1963","1963","toneladas","20970320","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1964","1964","ha","7285822","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1964","1964","kg/ha","3120.8","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1964","1964","toneladas","22737326","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1965","1965","ha","7229500","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1965","1965","kg/ha","2852.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1965","1965","toneladas","20620142","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1966","1966","ha","7207233","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1966","1966","kg/ha","2878","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1966","1966","toneladas","20742474","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1967","1967","ha","7286316","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1967","1967","kg/ha","3483.3","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1967","1967","toneladas","25380099","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1968","1968","ha","7431223","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1968","1968","kg/ha","3619.6","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1968","1968","toneladas","26898318","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1969","1969","ha","7499085","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1969","1969","kg/ha","3447.5","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1969","1969","toneladas","25853039","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1970","1970","ha","7470600","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1970","1970","kg/ha","3179.6","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1970","1970","toneladas","23753864","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1971","1971","ha","7571500","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1971","1971","kg/ha","3788.6","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1971","1971","toneladas","28685065","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1972","1972","ha","7633527","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1972","1972","kg/ha","3770.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1972","1972","toneladas","28780064","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1973","1973","ha","7662538","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1973","1973","kg/ha","3873.4","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1973","1973","toneladas","29680306","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1974","1974","ha","7743113","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1974","1974","kg/ha","4178.8","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1974","1974","toneladas","32357236","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1975","1975","ha","7805553","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1975","1975","kg/ha","3864.4","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1975","1975","toneladas","30164053","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1976","1976","ha","7816354","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1976","1976","kg/ha","3495.7","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1976","1976","toneladas","27323692","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1977","1977","ha","7800601","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1977","1977","kg/ha","3885.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1977","1977","toneladas","30306879","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1978","1978","ha","7878846","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1978","1978","kg/ha","4285.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1978","1978","toneladas","33762346","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1979","1979","ha","7723359","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1979","1979","kg/ha","4108.3","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1979","1979","toneladas","31729504","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1980","1980","ha","7737979","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5412","Rendimiento","1717","Cereales, primarios","1980","1980","kg/ha","4227.6","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5510","Producción","1717","Cereales, primarios","1980","1980","toneladas","32712941","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","79","Alemania","5312","Área cosechada","1717","Cereales, primarios","1981","1981","ha","7614540","A","Cifra oficial",""
