Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2000","2000","Int$/cap","49979","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2001","2001","Int$/cap","50712","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2002","2002","Int$/cap","50511","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2003","2003","Int$/cap","50215","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2004","2004","Int$/cap","50810","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2005","2005","Int$/cap","51289","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2006","2006","Int$/cap","53327","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2007","2007","Int$/cap","54942","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2008","2008","Int$/cap","55547","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2009","2009","Int$/cap","52600","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2010","2010","Int$/cap","54865","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2011","2011","Int$/cap","57992","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2012","2012","Int$/cap","58158","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2013","2013","Int$/cap","58224","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2014","2014","Int$/cap","59239","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2015","2015","Int$/cap","59699","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2016","2016","Int$/cap","60578","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2017","2017","Int$/cap","61992","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2018","2018","Int$/cap","62496","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2019","2019","Int$/cap","62971","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2020","2020","Int$/cap","60343","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2021","2021","Int$/cap","62531","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2022","2022","Int$/cap","62932","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2023","2023","Int$/cap","62687","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2024","2024","Int$/cap","62830","X","Cifra de fuente externa",""
