Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6621","Tierras arables","1961","1961","1000 ha","12220","A","Cifra oficial",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6650","Cultivos permanentes","1961","1961","1000 ha","504","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6655","Praderas y pastizales permanentes","1961","1961","1000 ha","6651","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6621","Tierras arables","1962","1962","1000 ha","12185","A","Cifra oficial",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6650","Cultivos permanentes","1962","1962","1000 ha","506","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6655","Praderas y pastizales permanentes","1962","1962","1000 ha","6702","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6621","Tierras arables","1963","1963","1000 ha","12165","A","Cifra oficial",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6650","Cultivos permanentes","1963","1963","1000 ha","498","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6655","Praderas y pastizales permanentes","1963","1963","1000 ha","6739","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6621","Tierras arables","1964","1964","1000 ha","12161","A","Cifra oficial",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6650","Cultivos permanentes","1964","1964","1000 ha","500","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6655","Praderas y pastizales permanentes","1964","1964","1000 ha","6797","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6621","Tierras arables","1965","1965","1000 ha","12153","A","Cifra oficial",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6650","Cultivos permanentes","1965","1965","1000 ha","492","I","Valor imputado por una agencia receptora",""
