Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1961","1961","1000 ha","19375","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1962","1962","1000 ha","19393","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1963","1963","1000 ha","19402","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1964","1964","1000 ha","19458","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1965","1965","1000 ha","19534","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1966","1966","1000 ha","19531","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1967","1967","1000 ha","19412","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1968","1968","1000 ha","19285","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1969","1969","1000 ha","19254","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1970","1970","1000 ha","19023","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1971","1971","1000 ha","18952","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1972","1972","1000 ha","18949","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","79","Alemania","5110","Superficie","6610","Tierras agrícolas","1973","1973","1000 ha","18897","I","Valor imputado por una agencia receptora",""
