Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1961","1961","toneladas","327178","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1961","1961","toneladas","307978","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1961","1961","toneladas","94700","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1962","1962","toneladas","345497","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1962","1962","toneladas","311111","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1962","1962","toneladas","95578","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1963","1963","toneladas","333031","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1963","1963","toneladas","313685","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1963","1963","toneladas","99654","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1964","1964","toneladas","364054","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1964","1964","toneladas","311973","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1964","1964","toneladas","91132","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1965","1965","toneladas","384720","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1965","1965","toneladas","305522","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1965","1965","toneladas","92117","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1966","1966","toneladas","473600","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","203","España","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1966","1966","toneladas","314700","A","Cifra oficial","Official data from questionnaire"
