Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"OA","Series temporales anuales","203","España","551","Población rural","3010","Población-Estimaciones","1990","1990","1000 No.","9688.522","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","561","Población urbana","3010","Población-Estimaciones","1990","1990","1000 No.","29617.58","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","561","Población urbana","3010","Población-Estimaciones","1991","1991","1000 No.","29760.282","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","551","Población rural","3010","Población-Estimaciones","1991","1991","1000 No.","9642.918","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","551","Población rural","3010","Población-Estimaciones","1992","1992","1000 No.","9637.807","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","561","Población urbana","3010","Población-Estimaciones","1992","1992","1000 No.","29877.704","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","561","Población urbana","3010","Población-Estimaciones","1993","1993","1000 No.","30003.331","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","551","Población rural","3010","Población-Estimaciones","1993","1993","1000 No.","9635.304","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","551","Población rural","3010","Población-Estimaciones","1994","1994","1000 No.","9633.307","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","561","Población urbana","3010","Población-Estimaciones","1994","1994","1000 No.","30131.255","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","561","Población urbana","3010","Población-Estimaciones","1995","1995","1000 No.","30259.317","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","551","Población rural","3010","Población-Estimaciones","1995","1995","1000 No.","9631.181","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","551","Población rural","3010","Población-Estimaciones","1996","1996","1000 No.","9627.169","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","561","Población urbana","3010","Población-Estimaciones","1996","1996","1000 No.","30382.155","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","561","Población urbana","3010","Población-Estimaciones","1997","1997","1000 No.","30507.614","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","551","Población rural","3010","Población-Estimaciones","1997","1997","1000 No.","9623.946","X","Cifra de fuente externa",""
"OA","Series temporales anuales","203","España","551","Población rural","3010","Población-Estimaciones","1998","1998","1000 No.","9629.839","X","Cifra de fuente externa",""
