Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21047","Porcentaje de la población que utiliza por lo menos servicios básicos de agua potable","2000","2000","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21048","Porcentaje de la población que utiliza por lo menos servicios básicos de saneamiento","2000","2000","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21047","Porcentaje de la población que utiliza por lo menos servicios básicos de agua potable","2001","2001","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21048","Porcentaje de la población que utiliza por lo menos servicios básicos de saneamiento","2001","2001","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21047","Porcentaje de la población que utiliza por lo menos servicios básicos de agua potable","2002","2002","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21048","Porcentaje de la población que utiliza por lo menos servicios básicos de saneamiento","2002","2002","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21047","Porcentaje de la población que utiliza por lo menos servicios básicos de agua potable","2003","2003","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21048","Porcentaje de la población que utiliza por lo menos servicios básicos de saneamiento","2003","2003","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21047","Porcentaje de la población que utiliza por lo menos servicios básicos de agua potable","2004","2004","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21048","Porcentaje de la población que utiliza por lo menos servicios básicos de saneamiento","2004","2004","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21047","Porcentaje de la población que utiliza por lo menos servicios básicos de agua potable","2005","2005","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21048","Porcentaje de la población que utiliza por lo menos servicios básicos de saneamiento","2005","2005","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21047","Porcentaje de la población que utiliza por lo menos servicios básicos de agua potable","2006","2006","%","99","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21048","Porcentaje de la población que utiliza por lo menos servicios básicos de saneamiento","2006","2006","%","99","X","Cifra de fuente externa",""
