Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20142016","2014-2016","%","7.1","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20142016","2014-2016","%","7.5","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20142016","2014-2016","%","6.6","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20152017","2015-2017","%","7.5","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20152017","2015-2017","%","8.5","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20152017","2015-2017","%","6.6","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20162018","2016-2018","%","7.5","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20162018","2016-2018","%","8.9","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20162018","2016-2018","%","6.1","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20172019","2017-2019","%","8.6","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20172019","2017-2019","%","10.8","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20172019","2017-2019","%","6.4","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20182020","2018-2020","%","8.8","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20182020","2018-2020","%","10","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20182020","2018-2020","%","7.7","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20192021","2019-2021","%","8.6","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20192021","2019-2021","%","9.7","E","Valor estimado","FAO data"
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20192021","2019-2021","%","7.6","E","Valor estimado","FAO data"
