Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2000","2000","%","18.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2001","2001","%","18.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2002","2002","%","18.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2003","2003","%","19.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2004","2004","%","19.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2005","2005","%","19.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2006","2006","%","19.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2007","2007","%","19.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2008","2008","%","19.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2009","2009","%","19.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2010","2010","%","19.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2011","2011","%","19.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2012","2012","%","18.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2013","2013","%","18.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2014","2014","%","18.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2015","2015","%","17.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2016","2016","%","17.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2017","2017","%","17.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2018","2018","%","16.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2019","2019","%","16.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2020","2020","%","16.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2021","2021","%","15.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2022","2022","%","15.7","X","Cifra de fuente externa",""
