Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","1717","Cereales, primarios","1961","1961","ha","6929785","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5412","Rendimiento","1717","Cereales, primarios","1961","1961","kg/ha","1082.5","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1717","Cereales, primarios","1961","1961","toneladas","7501313","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","1717","Cereales, primarios","1962","1962","ha","7252920","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5412","Rendimiento","1717","Cereales, primarios","1962","1962","kg/ha","1278.7","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1717","Cereales, primarios","1962","1962","toneladas","9274378","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","1717","Cereales, primarios","1963","1963","ha","7228312","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5412","Rendimiento","1717","Cereales, primarios","1963","1963","kg/ha","1303.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1717","Cereales, primarios","1963","1963","toneladas","9418967","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","1717","Cereales, primarios","1964","1964","ha","7048402","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5412","Rendimiento","1717","Cereales, primarios","1964","1964","kg/ha","1178.5","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1717","Cereales, primarios","1964","1964","toneladas","8306768","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","1717","Cereales, primarios","1965","1965","ha","7093770","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5412","Rendimiento","1717","Cereales, primarios","1965","1965","kg/ha","1250.7","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1717","Cereales, primarios","1965","1965","toneladas","8872202","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","1717","Cereales, primarios","1966","1966","ha","6954614","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5412","Rendimiento","1717","Cereales, primarios","1966","1966","kg/ha","1327.6","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1717","Cereales, primarios","1966","1966","toneladas","9233004","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","1717","Cereales, primarios","1967","1967","ha","7207501","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5412","Rendimiento","1717","Cereales, primarios","1967","1967","kg/ha","1480.6","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1717","Cereales, primarios","1967","1967","toneladas","10671297","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","1717","Cereales, primarios","1968","1968","ha","7382517","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5412","Rendimiento","1717","Cereales, primarios","1968","1968","kg/ha","1569.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1717","Cereales, primarios","1968","1968","toneladas","11583861","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","1717","Cereales, primarios","1969","1969","ha","7350702","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","203","España","5412","Rendimiento","1717","Cereales, primarios","1969","1969","kg/ha","1558.1","A","Cifra oficial",""
