Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2000","2000","Int$/cap","39945.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2001","2001","Int$/cap","41224.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2002","2002","Int$/cap","41766","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2003","2003","Int$/cap","42223.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2004","2004","Int$/cap","42793.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2005","2005","Int$/cap","43570.8","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2006","2006","Int$/cap","44572.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2007","2007","Int$/cap","45301.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2008","2008","Int$/cap","44926.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2009","2009","Int$/cap","42852.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2010","2010","Int$/cap","42695.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2011","2011","Int$/cap","42271.8","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2012","2012","Int$/cap","41034","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2013","2013","Int$/cap","40594.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2014","2014","Int$/cap","41339.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2015","2015","Int$/cap","43053.8","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2016","2016","Int$/cap","44274.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2017","2017","Int$/cap","45446.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2018","2018","Int$/cap","46325.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2019","2019","Int$/cap","46896.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2020","2020","Int$/cap","41553.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2021","2021","Int$/cap","44251.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2022","2022","Int$/cap","46649.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2023","2023","Int$/cap","47341.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2024","2024","Int$/cap","48373","X","Cifra de fuente externa",""
