Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20002002","2000-2002","%","132","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20012003","2001-2003","%","131","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20022004","2002-2004","%","130","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20032005","2003-2005","%","128","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20042006","2004-2006","%","127","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20052007","2005-2007","%","127","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20062008","2006-2008","%","127","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20072009","2007-2009","%","126","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20082010","2008-2010","%","127","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20092011","2009-2011","%","128","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20102012","2010-2012","%","128","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20112013","2011-2013","%","129","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20122014","2012-2014","%","128","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20132015","2013-2015","%","129","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20142016","2014-2016","%","130","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20152017","2015-2017","%","131","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20162018","2016-2018","%","133","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20172019","2017-2019","%","134","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20182020","2018-2020","%","135","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20192021","2019-2021","%","135","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20202022","2020-2022","%","134","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20212023","2021-2023","%","134","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21010","Suficiencia del suministro medio de energía alimentaria (%) (promedio de 3 años)","20222024","2022-2024","%","134","E","Valor estimado",""
