Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20002002","2000-2002","g/persona/día","73.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20012003","2001-2003","g/persona/día","74.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20022004","2002-2004","g/persona/día","73.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20032005","2003-2005","g/persona/día","71.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20042006","2004-2006","g/persona/día","70.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20052007","2005-2007","g/persona/día","71.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20062008","2006-2008","g/persona/día","70.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20072009","2007-2009","g/persona/día","69.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20082010","2008-2010","g/persona/día","69.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20092011","2009-2011","g/persona/día","70.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20102012","2010-2012","g/persona/día","71.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20112013","2011-2013","g/persona/día","71","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20122014","2012-2014","g/persona/día","70.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20132015","2013-2015","g/persona/día","71.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20142016","2014-2016","g/persona/día","71.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20152017","2015-2017","g/persona/día","72.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20162018","2016-2018","g/persona/día","73.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20172019","2017-2019","g/persona/día","75.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20182020","2018-2020","g/persona/día","76.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20192021","2019-2021","g/persona/día","77.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6123","Valor","21014","Suministro medio de proteínas de origen animal (g/persona/día) (promedio de 3 años)","20202022","2020-2022","g/persona/día","77.2","E","Valor estimado",""
