Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1961","1961","1000 ha","16246","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6650","Cultivos permanentes","1961","1961","1000 ha","4484","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6655","Praderas y pastizales permanentes","1961","1961","1000 ha","12500","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1962","1962","1000 ha","16296","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6650","Cultivos permanentes","1962","1962","1000 ha","4536","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6655","Praderas y pastizales permanentes","1962","1962","1000 ha","12400","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1963","1963","1000 ha","16205","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6650","Cultivos permanentes","1963","1963","1000 ha","4632","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6655","Praderas y pastizales permanentes","1963","1963","1000 ha","12300","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1964","1964","1000 ha","15919","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6650","Cultivos permanentes","1964","1964","1000 ha","4634","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6655","Praderas y pastizales permanentes","1964","1964","1000 ha","12200","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1965","1965","1000 ha","15966","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6650","Cultivos permanentes","1965","1965","1000 ha","4628","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6655","Praderas y pastizales permanentes","1965","1965","1000 ha","12100","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1966","1966","1000 ha","15509","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6650","Cultivos permanentes","1966","1966","1000 ha","4647","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6655","Praderas y pastizales permanentes","1966","1966","1000 ha","12000","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1967","1967","1000 ha","15740","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6650","Cultivos permanentes","1967","1967","1000 ha","4742","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6655","Praderas y pastizales permanentes","1967","1967","1000 ha","11900","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1968","1968","1000 ha","15692","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6650","Cultivos permanentes","1968","1968","1000 ha","4667","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6655","Praderas y pastizales permanentes","1968","1968","1000 ha","11800","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1969","1969","1000 ha","16082","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6650","Cultivos permanentes","1969","1969","1000 ha","4745","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6655","Praderas y pastizales permanentes","1969","1969","1000 ha","11700","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1970","1970","1000 ha","15690","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6650","Cultivos permanentes","1970","1970","1000 ha","4829","A","Cifra oficial",""
"RL","Uso de la tierra","203","España","5110","Superficie","6655","Praderas y pastizales permanentes","1970","1970","1000 ha","11600","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6621","Tierras arables","1971","1971","1000 ha","16339","A","Cifra oficial",""
