Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1961","1961","1000 ha","33230","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1962","1962","1000 ha","33232","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1963","1963","1000 ha","33137","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1964","1964","1000 ha","32753","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1965","1965","1000 ha","32694","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1966","1966","1000 ha","32156","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1967","1967","1000 ha","32382","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1968","1968","1000 ha","32159","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1969","1969","1000 ha","32527","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1970","1970","1000 ha","32119","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1971","1971","1000 ha","32684","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1972","1972","1000 ha","32568","I","Valor imputado por una agencia receptora",""
"RL","Uso de la tierra","203","España","5110","Superficie","6610","Tierras agrícolas","1973","1973","1000 ha","32280","A","Cifra oficial",""
