Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20002002","2000-2002","%","7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20012003","2001-2003","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20022004","2002-2004","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20032005","2003-2005","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20042006","2004-2006","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20052007","2005-2007","%","9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20062008","2006-2008","%","9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20072009","2007-2009","%","9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20082010","2008-2010","%","9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20092011","2009-2011","%","9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20102012","2010-2012","%","9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20112013","2011-2013","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20122014","2012-2014","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20132015","2013-2015","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20142016","2014-2016","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20152017","2015-2017","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20162018","2016-2018","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20172019","2017-2019","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20182020","2018-2020","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20192021","2019-2021","%","8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20202022","2020-2022","%","9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21033","Valor de las importaciones de alimentos respecto de las exportaciones totales de mercancías (%) (promedio de 3 años)","20212023","2021-2023","%","9","E","Valor estimado",""
