Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2001","2001","kcal/persona/día","33","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2002","2002","kcal/persona/día","35","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2003","2003","kcal/persona/día","30","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2004","2004","kcal/persona/día","28","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2005","2005","kcal/persona/día","41","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2006","2006","kcal/persona/día","51","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2007","2007","kcal/persona/día","52","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2008","2008","kcal/persona/día","29","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2009","2009","kcal/persona/día","14","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2010","2010","kcal/persona/día","11","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2011","2011","kcal/persona/día","14","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2012","2012","kcal/persona/día","21","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2013","2013","kcal/persona/día","23","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2014","2014","kcal/persona/día","23","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2015","2015","kcal/persona/día","20","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2016","2016","kcal/persona/día","21","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2017","2017","kcal/persona/día","33","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2018","2018","kcal/persona/día","40","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2019","2019","kcal/persona/día","53","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2020","2020","kcal/persona/día","41","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2021","2021","kcal/persona/día","18","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2022","2022","kcal/persona/día","17","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","203","España","6128","Valor","21031","Variabilidad del suministro de alimentos per cápita (kcal/persona/día)","2023","2023","kcal/persona/día","34","E","Valor estimado",""
