Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1961","1961","toneladas","347749","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1961","1961","toneladas","396916","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1961","1961","toneladas","127315","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1962","1962","toneladas","376504","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1962","1962","toneladas","376556","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1962","1962","toneladas","134433","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1963","1963","toneladas","374984","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1963","1963","toneladas","365600","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1963","1963","toneladas","130939","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1964","1964","toneladas","403647","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1964","1964","toneladas","400516","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1964","1964","toneladas","136147","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1965","1965","toneladas","461767","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1965","1965","toneladas","452645","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1965","1965","toneladas","167605","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1966","1966","toneladas","475340","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1966","1966","toneladas","462784","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1966","1966","toneladas","173172","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1967","1967","toneladas","479701","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1967","1967","toneladas","464494","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1967","1967","toneladas","178382","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1968","1968","toneladas","513595","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1968","1968","toneladas","467266","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1968","1968","toneladas","178753","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1969","1969","toneladas","550402","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1969","1969","toneladas","486246","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1969","1969","toneladas","194527","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1970","1970","toneladas","594547","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1970","1970","toneladas","518418","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","1970","1970","toneladas","225290","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","1971","1971","toneladas","624874","A","Cifra oficial","Official data from questionnaire"
"RFN","Fertilizantes por Nutriente","106","Italia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","1971","1971","toneladas","574535","A","Cifra oficial","Official data from questionnaire"
