Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RFN","Fertilizantes por Nutriente","5100","África","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","2023","2023","toneladas","4475128","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5100","África","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","2023","2023","toneladas","1652607","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5100","África","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","2023","2023","toneladas","913676","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5200","Américas","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","2023","2023","toneladas","25650435","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5200","Américas","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","2023","2023","toneladas","11259436","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5200","Américas","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","2023","2023","toneladas","14740089","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5300","Asia","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","2023","2023","toneladas","65314543","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5300","Asia","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","2023","2023","toneladas","23984764","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5300","Asia","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","2023","2023","toneladas","17951573","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5400","Europa","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","2023","2023","toneladas","13601546","A","Cifra oficial",""
"RFN","Fertilizantes por Nutriente","5400","Europa","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","2023","2023","toneladas","2981534","A","Cifra oficial",""
"RFN","Fertilizantes por Nutriente","5400","Europa","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","2023","2023","toneladas","3643774","A","Cifra oficial",""
"RFN","Fertilizantes por Nutriente","5500","Oceanía","5157","Uso Agrícola","3102","Nutriente nitrógeno N (total)","2023","2023","toneladas","2550069","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5500","Oceanía","5157","Uso Agrícola","3103","Fertilizantes fosfatados (total de nutrientes de P205)","2023","2023","toneladas","968816","E","Valor estimado",""
"RFN","Fertilizantes por Nutriente","5500","Oceanía","5157","Uso Agrícola","3104","Nutriente potasa K2O (total)","2023","2023","toneladas","387018","E","Valor estimado",""
