Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2000","2000","","0.92","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2002","2002","","0.84","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2003","2003","","0.43","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2004","2004","","0.27","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2005","2005","","0.49","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2006","2006","","0.53","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2007","2007","","0.45","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2008","2008","","0.55","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2009","2009","","0.35","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2010","2010","","0.47","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2011","2011","","0.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2012","2012","","0.51","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2013","2013","","0.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2014","2014","","0.46","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2015","2015","","0.36","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2016","2016","","0.36","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2017","2017","","0.29","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2018","2018","","0.33","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2019","2019","","0.38","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2020","2020","","0.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2021","2021","","0.55","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6125","Valor","21032","Estabilidad política y ausencia de violencia o terrorismo (índice)","2022","2022","","0.47","X","Cifra de fuente externa",""
