Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","1990","1990","1000 No.","19008.391","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","1990","1990","1000 No.","38118.729","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","1991","1991","1000 No.","38124.214","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","1991","1991","1000 No.","19028.302","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","1992","1992","1000 No.","19019.878","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","1992","1992","1000 No.","38169.009","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","1993","1993","1000 No.","38228.61","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","1993","1993","1000 No.","18998.037","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","1994","1994","1000 No.","18971.813","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","1994","1994","1000 No.","38279.554","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","1995","1995","1000 No.","38316.513","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","1995","1995","1000 No.","18938.68","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","1996","1996","1000 No.","18895.836","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","1996","1996","1000 No.","38333.834","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","1997","1997","1000 No.","38338.095","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","1997","1997","1000 No.","18846.806","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","1998","1998","1000 No.","18802.229","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","1998","1998","1000 No.","38351.325","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","1999","1999","1000 No.","38403.292","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","1999","1999","1000 No.","18776.697","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2000","2000","1000 No.","18779.731","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2000","2000","1000 No.","38513.99","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2001","2001","1000 No.","38691.248","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2001","2001","1000 No.","18815.119","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2002","2002","1000 No.","18853.502","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2002","2002","1000 No.","38948.261","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2003","2003","1000 No.","39249.995","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2003","2003","1000 No.","18897.042","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2004","2004","1000 No.","18940.573","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2004","2004","1000 No.","39554.131","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2005","2005","1000 No.","39835.813","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2005","2005","1000 No.","18972.67","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2006","2006","1000 No.","18990.436","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2006","2006","1000 No.","40089.433","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2007","2007","1000 No.","40317.902","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2007","2007","1000 No.","18995.609","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2008","2008","1000 No.","18985.986","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2008","2008","1000 No.","40516.399","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2009","2009","1000 No.","40681.311","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2009","2009","1000 No.","18960.542","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2010","2010","1000 No.","18918.497","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2010","2010","1000 No.","40811.31","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2011","2011","1000 No.","40901.795","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2011","2011","1000 No.","18858.134","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2012","2012","1000 No.","18706.111","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2012","2012","1000 No.","41027.723","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2013","2013","1000 No.","41158.347","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2013","2013","1000 No.","18509.653","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2014","2014","1000 No.","18309.186","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2014","2014","1000 No.","41276.482","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2015","2015","1000 No.","41393.818","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2015","2015","1000 No.","18110.394","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2016","2016","1000 No.","17914.936","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2016","2016","1000 No.","41515.002","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2017","2017","1000 No.","41637.312","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2017","2017","1000 No.","17722.588","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2018","2018","1000 No.","17527.87","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2018","2018","1000 No.","41763.099","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2019","2019","1000 No.","41887.345","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2019","2019","1000 No.","17329.18","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2020","2020","1000 No.","17125.372","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2020","2020","1000 No.","42006.701","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2021","2021","1000 No.","42121.159","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2021","2021","1000 No.","16916.734","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2022","2022","1000 No.","16704.459","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2022","2022","1000 No.","42233.014","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","561","Población urbana","3010","Población-Estimaciones","2023","2023","1000 No.","42343.688","X","Cifra de fuente externa",""
"OA","Series temporales anuales","106","Italia","551","Población rural","3010","Población-Estimaciones","2023","2023","1000 No.","16489.348","X","Cifra de fuente externa",""
