Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20142016","2014-2016","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20142016","2014-2016","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20142016","2014-2016","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20152017","2015-2017","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20152017","2015-2017","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20152017","2015-2017","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20162018","2016-2018","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20162018","2016-2018","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20162018","2016-2018","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20172019","2017-2019","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20172019","2017-2019","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20172019","2017-2019","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20182020","2018-2020","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20182020","2018-2020","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20182020","2018-2020","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20192021","2019-2021","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20192021","2019-2021","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20192021","2019-2021","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20202022","2020-2022","%","2.2","E","Valor estimado","Official estimate"
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20202022","2020-2022","%","1.9","E","Valor estimado","Official estimate"
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20202022","2020-2022","%","2.5","E","Valor estimado","Official estimate"
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20212023","2021-2023","%","2","A","Cifra oficial","Official estimate"
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20212023","2021-2023","%","1.9","E","Valor estimado","Official estimate"
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20212023","2021-2023","%","2.1","E","Valor estimado","Official estimate"
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20222024","2022-2024","%","1.7","A","Cifra oficial","Official estimate"
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091F","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta femenina (%) (promedio de 3 años)","20222024","2022-2024","%","1.7","E","Valor estimado","Official estimate"
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20222024","2022-2024","%","1.7","E","Valor estimado","Official estimate"
