Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2000","2000","%","13.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2001","2001","%","13.8","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2002","2002","%","14.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2003","2003","%","14.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2004","2004","%","14.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2005","2005","%","14.8","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2006","2006","%","15.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2007","2007","%","15.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2008","2008","%","15.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2009","2009","%","15.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2010","2010","%","15.8","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2011","2011","%","16","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2012","2012","%","16.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2013","2013","%","16.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2014","2014","%","16.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2015","2015","%","16.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2016","2016","%","16.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2017","2017","%","16.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2018","2018","%","16.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2019","2019","%","16.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2020","2020","%","17","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2021","2021","%","17.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","21042","Prevalencia de la obesidad entre la población adulta (18 años y más)","2022","2022","%","17.3","X","Cifra de fuente externa",""
