Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20002002","2000-2002","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20012003","2001-2003","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20022004","2002-2004","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20032005","2003-2005","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20042006","2004-2006","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20052007","2005-2007","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20062008","2006-2008","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20072009","2007-2009","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20082010","2008-2010","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20092011","2009-2011","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20102012","2010-2012","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20112013","2011-2013","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20122014","2012-2014","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20132015","2013-2015","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20142016","2014-2016","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20152017","2015-2017","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20162018","2016-2018","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20172019","2017-2019","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20182020","2018-2020","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20192021","2019-2021","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20202022","2020-2022","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20212023","2021-2023","%","<2.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6121","Valor","210041","Prevalencia de la subalimentación (%) (promedio de 3 años)","20222024","2022-2024","%","<2.5","E","Valor estimado",""
