Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","106","Italia","5312","Área cosechada","1717","Cereales, primarios","1961","1961","ha","6387203","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5412","Rendimiento","1717","Cereales, primarios","1961","1961","kg/ha","2181.5","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5510","Producción","1717","Cereales, primarios","1961","1961","toneladas","13933400","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5312","Área cosechada","1717","Cereales, primarios","1962","1962","ha","6485855","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5412","Rendimiento","1717","Cereales, primarios","1962","1962","kg/ha","2225.3","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5510","Producción","1717","Cereales, primarios","1962","1962","toneladas","14433210","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5312","Área cosechada","1717","Cereales, primarios","1963","1963","ha","6299467","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5412","Rendimiento","1717","Cereales, primarios","1963","1963","kg/ha","2115.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5510","Producción","1717","Cereales, primarios","1963","1963","toneladas","13324660","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5312","Área cosechada","1717","Cereales, primarios","1964","1964","ha","6244904","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5412","Rendimiento","1717","Cereales, primarios","1964","1964","kg/ha","2243","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5510","Producción","1717","Cereales, primarios","1964","1964","toneladas","14007520","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5312","Área cosechada","1717","Cereales, primarios","1965","1965","ha","6056518","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5412","Rendimiento","1717","Cereales, primarios","1965","1965","kg/ha","2399.3","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5510","Producción","1717","Cereales, primarios","1965","1965","toneladas","14531270","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5312","Área cosechada","1717","Cereales, primarios","1966","1966","ha","5991218","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5412","Rendimiento","1717","Cereales, primarios","1966","1966","kg/ha","2399.8","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5510","Producción","1717","Cereales, primarios","1966","1966","toneladas","14377630","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5312","Área cosechada","1717","Cereales, primarios","1967","1967","ha","5768719","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5412","Rendimiento","1717","Cereales, primarios","1967","1967","kg/ha","2628.8","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5510","Producción","1717","Cereales, primarios","1967","1967","toneladas","15165050","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5312","Área cosechada","1717","Cereales, primarios","1968","1968","ha","5954460","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5412","Rendimiento","1717","Cereales, primarios","1968","1968","kg/ha","2527.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5510","Producción","1717","Cereales, primarios","1968","1968","toneladas","15047330","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5312","Área cosechada","1717","Cereales, primarios","1969","1969","ha","5922142","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5412","Rendimiento","1717","Cereales, primarios","1969","1969","kg/ha","2676.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5510","Producción","1717","Cereales, primarios","1969","1969","toneladas","15848360","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","106","Italia","5312","Área cosechada","1717","Cereales, primarios","1970","1970","ha","5863821","A","Cifra oficial",""
