Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2000","2000","Int$/cap","50353","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2001","2001","Int$/cap","51332","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2002","2002","Int$/cap","51369","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2003","2003","Int$/cap","51126","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2004","2004","Int$/cap","51495","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2005","2005","Int$/cap","51586","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2006","2006","Int$/cap","52304","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2007","2007","Int$/cap","52747","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2008","2008","Int$/cap","51806","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2009","2009","Int$/cap","48774","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2010","2010","Int$/cap","49302","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2011","2011","Int$/cap","49473","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2012","2012","Int$/cap","47796","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2013","2013","Int$/cap","46833","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2014","2014","Int$/cap","46826","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2015","2015","Int$/cap","47312","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2016","2016","Int$/cap","47988","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2017","2017","Int$/cap","48849","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2018","2018","Int$/cap","49133","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2019","2019","Int$/cap","49691","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2020","2020","Int$/cap","45505","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2021","2021","Int$/cap","49825","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2022","2022","Int$/cap","52333","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2023","2023","Int$/cap","52726","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","106","Italia","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2021)","2024","2024","Int$/cap","53115","X","Cifra de fuente externa",""
