Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1961","1961","1000 ha","12862","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1961","1961","1000 ha","2746","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1961","1961","1000 ha","5075","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1962","1962","1000 ha","12795","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1962","1962","1000 ha","2775","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1962","1962","1000 ha","5082","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1963","1963","1000 ha","12674","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1963","1963","1000 ha","2741","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1963","1963","1000 ha","5095","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1964","1964","1000 ha","12598","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1964","1964","1000 ha","2776","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1964","1964","1000 ha","5088","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1965","1965","1000 ha","12524","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1965","1965","1000 ha","2778","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1965","1965","1000 ha","5138","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1966","1966","1000 ha","12444","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1966","1966","1000 ha","2814","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1966","1966","1000 ha","5147","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1967","1967","1000 ha","12389","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1967","1967","1000 ha","2824","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1967","1967","1000 ha","5166","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1968","1968","1000 ha","12346","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1968","1968","1000 ha","2849","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1968","1968","1000 ha","5160","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1969","1969","1000 ha","12221","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1969","1969","1000 ha","2780","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1969","1969","1000 ha","5226","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1970","1970","1000 ha","11984","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1970","1970","1000 ha","2946","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1970","1970","1000 ha","5250","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1971","1971","1000 ha","9511","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1971","1971","1000 ha","2898","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1971","1971","1000 ha","5240","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1972","1972","1000 ha","9393","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1972","1972","1000 ha","2912","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1972","1972","1000 ha","5203","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1973","1973","1000 ha","9288","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1973","1973","1000 ha","2945","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1973","1973","1000 ha","5249","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1974","1974","1000 ha","9319","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1974","1974","1000 ha","2969","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1974","1974","1000 ha","5214","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1975","1975","1000 ha","9330","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1975","1975","1000 ha","2983","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1975","1975","1000 ha","5204","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1976","1976","1000 ha","9364","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1976","1976","1000 ha","2989","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1976","1976","1000 ha","5176","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1977","1977","1000 ha","9359","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1977","1977","1000 ha","2976","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1977","1977","1000 ha","5166","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1978","1978","1000 ha","9451","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1978","1978","1000 ha","2971","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1978","1978","1000 ha","5167","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1979","1979","1000 ha","9476","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1979","1979","1000 ha","2970","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1979","1979","1000 ha","5162","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1980","1980","1000 ha","9483","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1980","1980","1000 ha","2953","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1980","1980","1000 ha","5126","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1981","1981","1000 ha","9466","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1981","1981","1000 ha","2958","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1981","1981","1000 ha","5127","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1982","1982","1000 ha","9458","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1982","1982","1000 ha","2957","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1982","1982","1000 ha","5121","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1983","1983","1000 ha","9128","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1983","1983","1000 ha","3140","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1983","1983","1000 ha","4992","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1984","1984","1000 ha","9097","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1984","1984","1000 ha","3135","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1984","1984","1000 ha","5012","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1985","1985","1000 ha","9050","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1985","1985","1000 ha","3064","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1985","1985","1000 ha","4981","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1986","1986","1000 ha","9086","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1986","1986","1000 ha","3012","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1986","1986","1000 ha","4944","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1987","1987","1000 ha","9065","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6650","Cultivos permanentes","1987","1987","1000 ha","3005","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6655","Praderas y pastizales permanentes","1987","1987","1000 ha","4942","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6621","Tierras arables","1988","1988","1000 ha","8958","A","Cifra oficial",""
