Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1961","1961","1000 ha","20683","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1962","1962","1000 ha","20652","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1963","1963","1000 ha","20510","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1964","1964","1000 ha","20462","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1965","1965","1000 ha","20440","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1966","1966","1000 ha","20405","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1967","1967","1000 ha","20379","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1968","1968","1000 ha","20355","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1969","1969","1000 ha","20227","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1970","1970","1000 ha","20180","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1971","1971","1000 ha","17649","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1972","1972","1000 ha","17508","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1973","1973","1000 ha","17482","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1974","1974","1000 ha","17502","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1975","1975","1000 ha","17517","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1976","1976","1000 ha","17529","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1977","1977","1000 ha","17501","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1978","1978","1000 ha","17589","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1979","1979","1000 ha","17608","A","Cifra oficial",""
"RL","Uso de la tierra","106","Italia","5110","Superficie","6610","Tierras agrícolas","1980","1980","1000 ha","17562","A","Cifra oficial",""
